FILENAME,CLASS,LABEL
Galaxy10_DECals-dataset-00755,0,3
Galaxy10_DECals-dataset-00757,0,3
Galaxy10_DECals-dataset-00759,0,2
Galaxy10_DECals-dataset-00760,0,2
Galaxy10_DECals-dataset-00761,0,2
Galaxy10_DECals-dataset-00762,0,1
Galaxy10_DECals-dataset-00763,0,2
Galaxy10_DECals-dataset-00764,0,2
Galaxy10_DECals-dataset-00765,0,1
Galaxy10_DECals-dataset-00766,0,1
Galaxy10_DECals-dataset-00767,0,2
Galaxy10_DECals-dataset-00768,0,2
Galaxy10_DECals-dataset-00770,0,2
Galaxy10_DECals-dataset-00771,0,2
Galaxy10_DECals-dataset-00772,0,1
Galaxy10_DECals-dataset-00773,0,2
Galaxy10_DECals-dataset-00774,0,2
Galaxy10_DECals-dataset-00775,0,1
Galaxy10_DECals-dataset-00776,0,1
Galaxy10_DECals-dataset-00777,0,1
Galaxy10_DECals-dataset-00778,0,2
Galaxy10_DECals-dataset-00779,0,1
Galaxy10_DECals-dataset-00780,0,1
Galaxy10_DECals-dataset-00781,0,3
Galaxy10_DECals-dataset-00782,0,1
Galaxy10_DECals-dataset-00783,0,2
Galaxy10_DECals-dataset-00784,0,1
Galaxy10_DECals-dataset-00785,0,1
Galaxy10_DECals-dataset-00786,0,2
Galaxy10_DECals-dataset-00787,0,1
Galaxy10_DECals-dataset-00788,0,1
Galaxy10_DECals-dataset-00789,0,1
Galaxy10_DECals-dataset-00790,0,2
Galaxy10_DECals-dataset-00791,0,2
Galaxy10_DECals-dataset-00792,0,2
Galaxy10_DECals-dataset-00793,0,1
Galaxy10_DECals-dataset-00794,0,1
Galaxy10_DECals-dataset-00795,0,1
Galaxy10_DECals-dataset-00796,0,1
Galaxy10_DECals-dataset-00797,0,2
Galaxy10_DECals-dataset-00798,0,2
Galaxy10_DECals-dataset-00799,0,2
Galaxy10_DECals-dataset-00800,0,2
Galaxy10_DECals-dataset-00801,0,2
Galaxy10_DECals-dataset-00802,0,2
Galaxy10_DECals-dataset-00803,0,1
Galaxy10_DECals-dataset-00804,0,1
Galaxy10_DECals-dataset-00805,0,1
Galaxy10_DECals-dataset-00806,0,2
Galaxy10_DECals-dataset-00807,0,1
Galaxy10_DECals-dataset-00808,0,1
Galaxy10_DECals-dataset-00809,0,1
Galaxy10_DECals-dataset-00810,0,2
Galaxy10_DECals-dataset-00811,0,1
Galaxy10_DECals-dataset-00812,0,2
Galaxy10_DECals-dataset-00813,0,2
Galaxy10_DECals-dataset-00814,0,1
Galaxy10_DECals-dataset-00815,0,1
Galaxy10_DECals-dataset-00816,0,2
Galaxy10_DECals-dataset-00818,0,1
Galaxy10_DECals-dataset-00819,0,1
Galaxy10_DECals-dataset-00820,0,2
Galaxy10_DECals-dataset-00822,0,1
Galaxy10_DECals-dataset-00823,0,1
Galaxy10_DECals-dataset-00825,0,1
Galaxy10_DECals-dataset-00826,0,3
Galaxy10_DECals-dataset-00827,0,1
Galaxy10_DECals-dataset-00828,0,2
Galaxy10_DECals-dataset-00829,0,1
Galaxy10_DECals-dataset-00830,0,2
Galaxy10_DECals-dataset-00832,0,1
Galaxy10_DECals-dataset-00833,0,1
Galaxy10_DECals-dataset-00835,0,1
Galaxy10_DECals-dataset-00836,0,2
Galaxy10_DECals-dataset-00837,0,2
Galaxy10_DECals-dataset-00838,0,1
Galaxy10_DECals-dataset-00839,0,3
Galaxy10_DECals-dataset-00841,0,2
Galaxy10_DECals-dataset-00842,0,2
Galaxy10_DECals-dataset-00843,0,3
Galaxy10_DECals-dataset-00844,0,2
Galaxy10_DECals-dataset-00845,0,2
Galaxy10_DECals-dataset-00846,0,2
Galaxy10_DECals-dataset-00847,0,1
Galaxy10_DECals-dataset-00848,0,1
Galaxy10_DECals-dataset-00849,0,2
Galaxy10_DECals-dataset-00851,0,1
Galaxy10_DECals-dataset-00852,0,1
Galaxy10_DECals-dataset-00853,0,1
Galaxy10_DECals-dataset-00854,0,2
Galaxy10_DECals-dataset-00855,0,2
Galaxy10_DECals-dataset-00856,0,2
Galaxy10_DECals-dataset-00857,0,1
Galaxy10_DECals-dataset-00858,0,2
Galaxy10_DECals-dataset-00859,0,2
Galaxy10_DECals-dataset-00860,0,1
Galaxy10_DECals-dataset-00861,0,1
Galaxy10_DECals-dataset-00862,0,1
Galaxy10_DECals-dataset-00864,0,2
Galaxy10_DECals-dataset-00865,0,3
Galaxy10_DECals-dataset-00866,0,1
Galaxy10_DECals-dataset-00867,0,2
Galaxy10_DECals-dataset-00869,0,1
Galaxy10_DECals-dataset-00870,0,1
Galaxy10_DECals-dataset-00871,0,2
Galaxy10_DECals-dataset-00872,0,2
Galaxy10_DECals-dataset-00874,0,2
Galaxy10_DECals-dataset-00875,0,1
Galaxy10_DECals-dataset-00876,0,1
Galaxy10_DECals-dataset-00877,0,2
Galaxy10_DECals-dataset-00878,0,2
Galaxy10_DECals-dataset-00879,0,3
Galaxy10_DECals-dataset-00880,0,1
Galaxy10_DECals-dataset-00881,0,2
Galaxy10_DECals-dataset-00882,0,2
Galaxy10_DECals-dataset-00883,0,2
Galaxy10_DECals-dataset-00884,0,2
Galaxy10_DECals-dataset-00885,0,1
Galaxy10_DECals-dataset-00886,0,2
Galaxy10_DECals-dataset-00887,0,1
Galaxy10_DECals-dataset-00888,0,1
Galaxy10_DECals-dataset-00889,0,1
Galaxy10_DECals-dataset-00890,0,2
Galaxy10_DECals-dataset-00891,0,2
Galaxy10_DECals-dataset-00892,0,1
Galaxy10_DECals-dataset-00893,0,1
Galaxy10_DECals-dataset-00894,0,2
Galaxy10_DECals-dataset-00895,0,2
Galaxy10_DECals-dataset-00897,0,2
Galaxy10_DECals-dataset-00898,0,2
Galaxy10_DECals-dataset-00899,0,2
Galaxy10_DECals-dataset-00900,0,2
Galaxy10_DECals-dataset-00901,0,2
Galaxy10_DECals-dataset-00902,0,2
Galaxy10_DECals-dataset-00903,0,2
Galaxy10_DECals-dataset-00904,0,2
Galaxy10_DECals-dataset-00905,0,1
Galaxy10_DECals-dataset-00906,0,2
Galaxy10_DECals-dataset-00907,0,2
Galaxy10_DECals-dataset-00908,0,1
Galaxy10_DECals-dataset-00910,0,3
Galaxy10_DECals-dataset-00911,0,1
Galaxy10_DECals-dataset-00912,0,1
Galaxy10_DECals-dataset-00913,0,1
Galaxy10_DECals-dataset-00914,0,1
Galaxy10_DECals-dataset-00915,0,2
Galaxy10_DECals-dataset-00916,0,2
Galaxy10_DECals-dataset-00917,0,1
Galaxy10_DECals-dataset-00918,0,1
Galaxy10_DECals-dataset-00919,0,2
Galaxy10_DECals-dataset-00920,0,1
Galaxy10_DECals-dataset-00921,0,1
Galaxy10_DECals-dataset-00922,0,2
Galaxy10_DECals-dataset-00923,0,1
Galaxy10_DECals-dataset-00924,0,1
Galaxy10_DECals-dataset-00925,0,2
Galaxy10_DECals-dataset-00926,0,1
Galaxy10_DECals-dataset-00927,0,1
Galaxy10_DECals-dataset-00928,0,2
Galaxy10_DECals-dataset-00929,0,1
Galaxy10_DECals-dataset-00930,0,2
Galaxy10_DECals-dataset-00932,0,2
Galaxy10_DECals-dataset-00933,0,2
Galaxy10_DECals-dataset-00934,0,3
Galaxy10_DECals-dataset-00935,0,2
Galaxy10_DECals-dataset-00936,0,2
Galaxy10_DECals-dataset-00937,0,2
Galaxy10_DECals-dataset-00938,0,2
Galaxy10_DECals-dataset-00939,0,3
Galaxy10_DECals-dataset-00940,0,2
Galaxy10_DECals-dataset-00943,0,1
Galaxy10_DECals-dataset-00944,0,1
Galaxy10_DECals-dataset-00946,0,2
Galaxy10_DECals-dataset-00947,0,2
Galaxy10_DECals-dataset-00949,0,2
Galaxy10_DECals-dataset-00950,0,1
Galaxy10_DECals-dataset-00951,0,2
Galaxy10_DECals-dataset-00952,0,2
Galaxy10_DECals-dataset-00953,0,3
Galaxy10_DECals-dataset-00955,0,2
Galaxy10_DECals-dataset-00956,0,2
Galaxy10_DECals-dataset-00957,0,2
Galaxy10_DECals-dataset-00958,0,2
Galaxy10_DECals-dataset-00959,0,2
Galaxy10_DECals-dataset-00961,0,2
Galaxy10_DECals-dataset-00963,0,2
Galaxy10_DECals-dataset-00964,0,3
Galaxy10_DECals-dataset-00965,0,1
Galaxy10_DECals-dataset-00966,0,2
Galaxy10_DECals-dataset-00970,0,2
Galaxy10_DECals-dataset-00971,0,2
Galaxy10_DECals-dataset-00972,0,2
Galaxy10_DECals-dataset-00973,0,2
Galaxy10_DECals-dataset-00975,0,2
Galaxy10_DECals-dataset-00976,0,2
Galaxy10_DECals-dataset-00977,0,1
Galaxy10_DECals-dataset-00978,0,2
Galaxy10_DECals-dataset-00979,0,2
Galaxy10_DECals-dataset-00980,0,2
Galaxy10_DECals-dataset-00981,0,2
Galaxy10_DECals-dataset-00983,0,2
Galaxy10_DECals-dataset-00984,0,2
Galaxy10_DECals-dataset-00985,0,2
Galaxy10_DECals-dataset-00986,0,2
Galaxy10_DECals-dataset-00987,0,2
Galaxy10_DECals-dataset-00988,0,1
Galaxy10_DECals-dataset-00989,0,2
Galaxy10_DECals-dataset-00990,0,2
Galaxy10_DECals-dataset-00991,0,1
Galaxy10_DECals-dataset-00992,0,2
Galaxy10_DECals-dataset-00993,0,3
Galaxy10_DECals-dataset-00995,0,1
Galaxy10_DECals-dataset-00996,0,1
Galaxy10_DECals-dataset-00997,0,2
Galaxy10_DECals-dataset-00998,0,2
Galaxy10_DECals-dataset-00999,0,2
Galaxy10_DECals-dataset-01000,0,2
Galaxy10_DECals-dataset-01001,0,2
Galaxy10_DECals-dataset-01002,0,2
Galaxy10_DECals-dataset-01003,0,2
Galaxy10_DECals-dataset-01004,0,2
Galaxy10_DECals-dataset-01007,0,2
Galaxy10_DECals-dataset-01008,0,2
Galaxy10_DECals-dataset-01009,0,2
Galaxy10_DECals-dataset-01010,0,2
Galaxy10_DECals-dataset-01011,0,2
Galaxy10_DECals-dataset-01012,0,2
Galaxy10_DECals-dataset-01013,0,2
Galaxy10_DECals-dataset-01014,0,2
Galaxy10_DECals-dataset-01015,0,2
Galaxy10_DECals-dataset-01016,0,2
Galaxy10_DECals-dataset-01018,0,2
Galaxy10_DECals-dataset-01019,0,2
Galaxy10_DECals-dataset-01021,0,2
Galaxy10_DECals-dataset-01022,0,1
Galaxy10_DECals-dataset-01023,0,2
Galaxy10_DECals-dataset-01024,0,3
Galaxy10_DECals-dataset-01025,0,3
Galaxy10_DECals-dataset-01026,0,2
Galaxy10_DECals-dataset-01027,0,2
Galaxy10_DECals-dataset-01028,0,2
Galaxy10_DECals-dataset-01029,0,2
Galaxy10_DECals-dataset-01030,0,2
Galaxy10_DECals-dataset-01031,0,2
Galaxy10_DECals-dataset-01032,0,1
Galaxy10_DECals-dataset-01033,0,2
Galaxy10_DECals-dataset-01034,0,2
Galaxy10_DECals-dataset-01035,0,2
Galaxy10_DECals-dataset-01036,0,2
Galaxy10_DECals-dataset-01037,0,2
Galaxy10_DECals-dataset-01038,0,3
Galaxy10_DECals-dataset-01039,0,1
Galaxy10_DECals-dataset-01040,0,2
Galaxy10_DECals-dataset-01041,0,3
