FILENAME,CLASS,SPLIT
Galaxy10_DECals-dataset-00000,0,train
Galaxy10_DECals-dataset-00001,0,train
Galaxy10_DECals-dataset-00002,0,train
Galaxy10_DECals-dataset-00003,0,train
Galaxy10_DECals-dataset-00004,0,train
Galaxy10_DECals-dataset-00005,0,train
Galaxy10_DECals-dataset-00006,0,train
Galaxy10_DECals-dataset-00007,0,train
Galaxy10_DECals-dataset-00008,0,train
Galaxy10_DECals-dataset-00009,0,train
Galaxy10_DECals-dataset-00010,0,train
Galaxy10_DECals-dataset-00011,0,train
Galaxy10_DECals-dataset-00012,0,train
Galaxy10_DECals-dataset-00013,0,train
Galaxy10_DECals-dataset-00014,0,train
Galaxy10_DECals-dataset-01466,0,validation
Galaxy10_DECals-dataset-01467,0,validation
Galaxy10_DECals-dataset-01468,0,validation
Galaxy10_DECals-dataset-01469,0,validation
Galaxy10_DECals-dataset-01470,0,validation
Galaxy10_DECals-dataset-01471,0,validation
Galaxy10_DECals-dataset-02053,0,test
Galaxy10_DECals-dataset-02054,0,test
Galaxy10_DECals-dataset-02055,0,test
Galaxy10_DECals-dataset-02056,0,test
Galaxy10_DECals-dataset-02057,0,test
Galaxy10_DECals-dataset-02058,0,test
Galaxy10_DECals-dataset-02059,0,test
Galaxy10_DECals-dataset-02060,0,test
Galaxy10_DECals-dataset-02061,0,test
Galaxy10_DECals-dataset-02934,1,train
Galaxy10_DECals-dataset-02935,1,train
Galaxy10_DECals-dataset-02936,1,train
Galaxy10_DECals-dataset-02937,1,train
Galaxy10_DECals-dataset-02938,1,train
Galaxy10_DECals-dataset-02939,1,train
Galaxy10_DECals-dataset-02940,1,train
Galaxy10_DECals-dataset-02941,1,train
Galaxy10_DECals-dataset-02942,1,train
Galaxy10_DECals-dataset-02943,1,train
Galaxy10_DECals-dataset-02944,1,train
Galaxy10_DECals-dataset-02945,1,train
Galaxy10_DECals-dataset-02946,1,train
Galaxy10_DECals-dataset-02947,1,train
Galaxy10_DECals-dataset-02948,1,train
Galaxy10_DECals-dataset-02949,1,train
Galaxy10_DECals-dataset-02950,1,train
Galaxy10_DECals-dataset-02951,1,train
Galaxy10_DECals-dataset-02952,1,train
Galaxy10_DECals-dataset-02953,1,train
Galaxy10_DECals-dataset-02954,1,train
Galaxy10_DECals-dataset-02955,1,train
